name,address,经度,纬度,tel,type
车子排加油站(东明兴城),Y271(梅西中学西北侧约250米),115.90267,24.423056,18475771462,汽车服务;加油站;加油站
中国石化长安加油站,长田镇206国道边,115.963476,24.468976,0753-8360145,汽车服务;加油站;中国石化
中新源石油永基加油站,031乡道附近,116.193519,24.496464,[],汽车服务;加油站;加油站
榕江加油站,南口镇,115.954121,24.28881,[],汽车服务;加油站;加油站
中国石油梅州畲江加油站,畲江镇上墩村,115.997813,24.039813,0753-2484202,汽车服务;加油站;中国石油
中国石化新沙加油站,019县道附近金沙村金沙小学西北400米,116.135503,24.498496,0753-7792498,汽车服务;加油站;中国石化
三乡加油站,三乡收费站(S12梅龙高速出入口)附近,116.375031,24.334749,[],汽车服务;加油站;加油站
中国石化白渡加油站,031乡道白渡汽车客运站西南80米,116.193849,24.488915,0753-2679685,汽车服务;加油站;中国石化
中银能源飞跃加油站,205国道附近,115.936885,24.223147,0753-3641885,汽车服务;加油站;加油站
中国石油玲苑加油站,019县道东侧,116.095267,24.436154,[],汽车服务;加油站;中国石油
FULD OIL麒麟加油站,223省道西50米,116.324482,24.410362,[],汽车服务;加油站;加油站
中莆国际能源加油站(大坪站),大坪镇,115.957836,24.372101,[],汽车服务;加油站;加油站
龙岗加油站,028县道附近,116.216859,23.984887,[],汽车服务;加油站;加油站
中国石化桥头加油站,235国道,116.44442,24.135965,0753-6699906,汽车服务;加油站;中国石化
粤运能源水车服务区加油站,水车服务区西南30米,116.068707,24.111323,[],汽车服务;加油站;加油站
中国石化平远服务区东加油站,济广高速兴平段平远服务区,115.87722,24.546034,0753-8892326;0753-8893326,汽车服务;加油站;中国石化
中国石化平远西加油站,济广高速兴平段平远服务区,115.874603,24.542518,0753-8893326,汽车服务;加油站;中国石化
中国石化岭南加油站,石正镇南台兴平公路侧,115.839465,24.516966,0753-8393168,汽车服务;加油站;中国石化
中国石油梅州平远超竹加油站,206国道与148乡道交叉口东南约60米,115.90595,24.53397,[],汽车服务;加油站;中国石油
茂兴石化加油站,永和镇成鹊开发区10号,115.783375,24.129631,0753-4291037;13923028888,汽车服务;加油站;加油站
粤运能源水车服务区加油站,水车服务区与S19梅汕高速交叉口南380米,116.071224,24.112089,[],汽车服务;加油站;加油站
中广化仁里加油站,永和镇仁里村,115.824512,24.150235,[],汽车服务;加油站;加油站
中国石化县城加油站,工业大道梅青路,115.901425,24.582216,0753-8824581,汽车服务;加油站;中国石化|公司企业;公司;冶金化工
中新源石油松南加油站,区县道025号,116.417794,24.494555,[],汽车服务;加油站;加油站
中惠石化永和加油站,205国道与557乡道交叉口,115.80905,24.140252,[],汽车服务;加油站;加油站
新华加油站(蕉华站),华侨农场华侨场,116.148925,24.58458,0753-7665268,汽车服务;加油站;加油站
中国石化华侨场加油站,205国道蕉岭华侨农场下寨段,116.150233,24.58151,0753-7667486,汽车服务;加油站;中国石化
新乐加油站,叟乐村,116.162933,24.62251,[],汽车服务;加油站;加油站
中国石化丰光加油站,超竹丰光管理区,115.895386,24.545856,0753-8840893,汽车服务;加油站;中国石化
石马盛誉加油站,947县道与013县道交叉口东120米,115.830962,24.277629,[],汽车服务;加油站;加油站
中国石化大黄加油站,大黄村323省道与005乡道交叉口,116.391756,24.477223,0753-2765998,汽车服务;加油站;中国石化
蕉岭雄新石化加油站,新铺镇马鞍山,116.1336,24.518408,18320217672,汽车服务;加油站;加油站
石坑加油站,石坑镇026县道英城围段、洪秀全纪念学校附近,115.834433,24.38383,[],汽车服务;加油站;加油站
中国石化兴宁郊区加油站,梅州市兴宁市新圩镇郊区226省道旁,115.867613,24.06024,0753-3705336,汽车服务;加油站;中国石化
中国石化蕉岭服务区西加油站,天汕高速公路蕉岭服务区,116.157244,24.56491,0753-7666939,汽车服务;加油站;中国石化
中化石油蕉岭裕安加油站,205国道西50米,116.171534,24.528458,[],汽车服务;加油站;加油站
中国石化兴宁服务区北加油站,梅河高速兴宁服务区,115.821128,24.142076,0753-3601389,汽车服务;加油站;中国石化
大路加油站,官汕四路1245号,115.764845,24.133379,0753-3231705,汽车服务;加油站;加油站
加乐加新布加油站,225省道,115.877332,24.03114,0753-3709353,汽车服务;加油站;加油站
中国石油平远西河加油站,西河镇西华路8号,115.893565,24.541471,[],汽车服务;加油站;中国石油
中油bp加油站(梅州新兴站),蕉城镇叟乐世纪大道,116.16209,24.620111,0753-7889007,汽车服务;加油站;中石油碧辟
能链石化松口岭加油站,宁新街道洋里松口岭,115.771245,24.129934,0753-2762425,汽车服务;加油站;加油站
明兴石化加油站,226省道北侧,115.838345,24.095177,[],汽车服务;加油站;加油站
中国石化丰良加油站,丰良镇206国道窑下塘路段路东,116.208726,23.937482,0753-6225343,汽车服务;加油站;中国石化
中国石油梅县海昌加油站,松口石盘,116.399632,24.4981,0753-2762389,汽车服务;加油站;中国石油
中国石油平远石正加油站,石正镇先锋黄路子,115.829257,24.497985,[],汽车服务;加油站;中国石油
中国石化建新加油站,建桥镇上坝1号,116.139424,23.947447,0753-6250086,汽车服务;加油站;中国石化
中国石化中心加油站,桂岭大道大地汽贸北侧,116.171078,24.641502,0753-7860972,汽车服务;加油站;中国石化
中国石化兴宁市宁新加油站,管汕四路1215号,115.763973,24.133959,0753-3231816,汽车服务;加油站;中国石化
中银能源福源加油站,新圩镇225省道蓝布村路段路西侧,115.880092,24.025531,17817783759,汽车服务;加油站;加油站
中国海油广东销售有限公司兴宁市三洋加油站,宁新街道洋里客运站对面,115.77935,24.128146,0753-3212918,汽车服务;加油站;加油站
谷仓加油站,桂岭大道南160号,116.171172,24.642383,0753-7872798,汽车服务;加油站;加油站
丰淼加油站,020县道与032乡道交叉口东南240米,115.908425,24.418935,[],汽车服务;加油站;加油站
中国石油兴宁洋里加油站,205国道与025乡道交口西北角,115.775281,24.126757,0753-3211220,汽车服务;加油站;中国石油
中国石化富源加油站,银江镇坑口管理区双坝村柏公下,116.507728,24.28168,0753-5492518,汽车服务;加油站;中国石化
中国石化松口加油站,松口镇河塘背,116.416953,24.507342,0753-2762425,汽车服务;加油站;中国石化
粤运能源坭陂服务区加油站,坭陂服务区,115.855307,24.080576,[],汽车服务;加油站;加油站
中国石化牛岗加油站,205国道牛岗圩附近,116.167057,24.632128,0753-7873437,汽车服务;加油站;中国石化
中银能源加油站(志发站),S226(官汕四路),115.772744,24.129093,[],汽车服务;加油站;加油站
鹏发石化加油站,坭陂镇将军村,115.825018,24.09885,[],汽车服务;加油站;加油站
中国石化新民加油站,宁中镇星民村机场路,115.744996,24.15943,0753-3388083,汽车服务;加油站;中国石化
中海石化加油站,355国道与下畲路交叉口南40米,115.967271,23.971991,[],汽车服务;加油站;加油站
中国石化水口加油站,州市225省道(水洋村民委员会东南),115.899931,23.98932,0753-3751315,汽车服务;加油站;中国石化
中国石化新区加油站,宁新街道办事处城南人民大道和山河路口,115.744271,24.127767,0753-3261295,汽车服务;加油站;中国石化
中国石化黄陂加油站,黄陂镇省225道路旁,115.751358,24.416513,0753-3431318,汽车服务;加油站;中国石化
中油bp梅州城南加油站,大柘镇梅平路平远大道南16号,115.894354,24.558246,0753-8891520,汽车服务;加油站;中石油碧辟
丰良加油站,G206国道丰良镇国道旁,116.190898,23.945399,[],汽车服务;加油站;加油站
加乐加加油站(长兴站),桃源西路与125乡道交汇处西南100米,116.158212,24.64756,[],汽车服务;加油站;加油站
粤运能源坭陂服务区加油站,汕昆高速公路,115.854654,24.078857,[],汽车服务;加油站;加油站
中国石化径义加油站,畲江镇径心村,116.029641,23.94003,0753-2498230,汽车服务;加油站;中国石化
中国石化明珠加油站,宁新街道办事处人民大道寨仔村南侧,115.759759,24.127769,0753-3254257,汽车服务;加油站;中国石化
联合石化加油站供销大岭站,文峰三路371附近,115.755996,24.134873,[],汽车服务;加油站;加油站
中兴石化加油站(黄槐站),225省道,115.781623,24.470545,0753-3401264,汽车服务;加油站;加油站
亚孚加油站(兴福站),桂岭大道南东50米,116.169096,24.637823,0753-7874594,汽车服务;加油站;加油站
中油bp梅州龙安加油站,205国道18-3号,116.161525,24.615809,0753-7889368,汽车服务;加油站;中石油碧辟
闪油捷送加油站,181乡道与180乡道交叉口北40米,116.086784,24.448104,[],汽车服务;加油站;加油站
燃料加油站,平兴路2号,115.894579,24.557763,0753-8894084,汽车服务;加油站;加油站
中国石油平远昌盛加油站,大坪镇大柘镇206国道,115.87904,24.577048,[],汽车服务;加油站;中国石油
中兴石化陂西加油站,坭陂镇合湖村,115.802193,24.071739,13650652777,汽车服务;加油站;加油站
中国石油梅州兴宁粤兴加油站,兴田街道兴南大道兴南华府东区(君晟实业),115.732438,24.124546,0753-3267332,汽车服务;加油站;中国石油
文兰油站加油站,宁中镇机场路洋头岭,115.749298,24.167018,0753-3370555,汽车服务;加油站;加油站
中国石化平远银河加油站,大柘镇工业大道,115.910369,24.588905,0753-8824570,汽车服务;加油站;中国石化
新铺石化马鞍山加油站,332省道与新东路交叉口西北100米,116.134177,24.517925,[],汽车服务;加油站;加油站
黄陂石化加油站(新兴站),S225黄陂镇中心小学南侧约250米,115.745451,24.410195,[],汽车服务;加油站;加油站
中国石化合水加油站,合水镇溪唇村,115.712506,24.241542,0753-3552183,汽车服务;加油站;中国石化
KLK加乐加加油站,225省道东50米,115.766093,24.45321,0753-3401289,汽车服务;加油站;加油站
粤龙加油站,225省道与010县道交叉口东60米,115.724852,24.275362,[],汽车服务;加油站;加油站
中国石油梅州华强加油站,平城工业大道,115.91543,24.592687,0753-8826262,汽车服务;加油站;中国石油
中国石化站前加油站,福兴镇39号区兴南大道侧,115.735185,24.112765,0753-3255539,汽车服务;加油站;中国石化
中银能源加油站(兴宁大道站),兴宁大道东测,115.740349,24.100154,0753-3355686,汽车服务;加油站;加油站
中国石化兴城加油站,兴城镇官汕二路100号,115.71974,24.144429,0753-3332957,汽车服务;加油站;中国石化|公司企业;公司;公司
中国石化加坡岭加油站,兴城镇兴田二路加坡岭,115.722585,24.161772,0753-3369913,汽车服务;加油站;中国石化
中国石油平远通达加油站,145乡道与206国道交汇处的东方,115.873419,24.579328,0753-8894520,汽车服务;加油站;中国石油
广石化张陂加油站,龙田镇,115.718757,24.195107,[],汽车服务;加油站;加油站
大麻加油站,大麻镇,116.539298,24.348678,[],汽车服务;加油站;加油站
供销石化加油站,坭陂镇坜陂圩陂兴路,115.796337,24.113314,0753-3651316,汽车服务;加油站;加油站
中银能源梅州广发加油站,龙田镇龙丰路五福铁艺不锈钢门窗东南50米,115.714665,24.205441,18023505510,汽车服务;加油站;加油站
中国石化桂岭加油站,桂岭大道北236号,116.179406,24.668566,0753-7882718,汽车服务;加油站;中国石化
能链石化合水富和加油站(高品质燃油),合水镇富和高马岗,115.720734,24.247892,0753-3550116,汽车服务;加油站;加油站
中国石化河岭加油站,工业大道落马桥,115.912014,24.590879,0753-8823799,汽车服务;加油站;中国石化
黄陂镇龙江加油站,黄陂镇225省道与488乡道交叉口西南300米,115.748197,24.412375,13318138612,汽车服务;加油站;加油站
联合石化加油站(岐岭下站),水口镇,115.910553,23.983791,[],汽车服务;加油站;加油站
加乐加加油站,兴田二路萧家街,115.720412,24.166541,0753-3384628,汽车服务;加油站;加油站
顺风加油站,大柘镇平远大道,115.871353,24.58074,0753-8890631,汽车服务;加油站;加油站
中心石化加油站(黄陂镇中心小学东南),225省道附近,115.747476,24.411221,0753-3431429,汽车服务;加油站;加油站
中莆国际能源加油站,水口镇120省道水坝路段路北侧,115.89291,23.982373,15766787360,汽车服务;加油站;加油站
中国石化梅州黄金加油站,黄金镇黄金大桥新桥侧,116.39657,23.98267,0753-6361931,汽车服务;加油站;中国石化
中国石化村东加油站,隆文镇村东,116.356097,24.595084,0753-2730612,汽车服务;加油站;中国石化
兴宁市黄陂镇黄金石化加油站,黄陂镇黄金石化(黄金加油站),115.748772,24.412538,13826663892,汽车服务;加油站;加油站
华宝加油站,工业大道,115.910977,24.588788,0753-8824570,汽车服务;加油站;加油站
中国石化溪口加油站,松口镇松东溪口,116.456148,24.514987,0753-2752198,汽车服务;加油站;中国石化
中国石化顺达加油站,黄陂镇甘专村增背12号,115.702533,24.371628,0753-8100803,汽车服务;加油站;中国石化
中国海油兴宁海城加油站,齐昌大道与县道017号交叉口向东路南(法院对面),115.721846,24.129133,[],汽车服务;加油站;加油站
富达石化加油站,225省道与152乡道交叉口东北420米,115.763253,24.438322,[],汽车服务;加油站;加油站
柠檬石化刁坊加油站,017县道(育童星幼儿园南),115.749037,24.097499,[],汽车服务;加油站;加油站
中广石化伟春加油站,合水镇龙霞北洞s225旁,115.726747,24.271609,13929393331,汽车服务;加油站;加油站
兴宁石化隆合加油站,宁中镇望江,115.720978,24.17475,[],汽车服务;加油站;加油站
劲源加油站,广州天河(兴宁)产业转移工业园天河大道18号,115.698965,24.174929,[],汽车服务;加油站;加油站
正丰石化加油站,福新街道,115.721255,24.129117,0753-3268189,汽车服务;加油站;加油站
中国石油兴宁华发加油站,兴城镇205国道,115.715462,24.130139,0753-3237200;0753-3290425,汽车服务;加油站;中国石油
中国石油兴宁兴达加油站,黄陂镇(岗背),115.704612,24.33556,0753-3508128,汽车服务;加油站;中国石油
广东中慧通加油站,建桥镇环中村当风岭社肚里地块自编1号,116.0821,23.92193,[],汽车服务;加油站;加油站
中新源石油永安加油站,332省道南,116.433809,24.509167,0753-2768888,汽车服务;加油站;加油站
中国石化向阳加油站,福兴街道办事处站前大道向阳村,115.722953,24.106822,0753-3310619,汽车服务;加油站;中国石化
广石化文发加油站,叶塘镇,115.706387,24.195062,[],汽车服务;加油站;加油站
丰源加油站(乡贤路),大麻镇小留村口,116.518271,24.347445,0753-5453209,汽车服务;加油站;加油站
中国石化新陂加油站,兴合大道新陂镇地段,115.688713,24.161665,0753-3877520,汽车服务;加油站;中国石化
中立石化加油站(良峰站),黄陂镇225省道兴宁市柏良学习附近,115.711077,24.382621,18607531268,汽车服务;加油站;加油站
中国石化金城加油站,蕉城镇樟坑村裕行亭205国道,116.18215,24.684386,0753-7882108,汽车服务;加油站;中国石化
闪油捷送加油站(物供站),黄陂镇浊水村,115.728424,24.392236,[],汽车服务;加油站;加油站
中国能源联兴加油站,永官路与205国道交叉口西北50米,115.708089,24.126864,0753-3262183,汽车服务;加油站;加油站
广东石化加油站(学士站),225省道附近,115.701679,24.326527,[],汽车服务;加油站;加油站
中新源石油中广源加油站,223省道与131乡道交叉口南80米,116.355922,24.593275,0753-2730728,汽车服务;加油站;加油站
潭江加油站,潭江镇227省道潭江中心小学附近(潭江宾馆西南),116.51798,24.091311,[],汽车服务;加油站;加油站
中国石油平远联发加油站,东石镇开发区(东石福利院东北),115.95129,24.666678,0753-8319396,汽车服务;加油站;中国石油
泰兴加油站,223省道与128乡道交叉口南260米,116.352591,24.586324,0753-2730218,汽车服务;加油站;加油站
中国石油梅州蕉岭东外环加油站,樟坑村荷树岗205国道边,116.184322,24.686888,[],汽车服务;加油站;中国石油
中国石化东石加油站,东石镇麻园岗,115.974152,24.676063,0753-8318310,汽车服务;加油站;中国石化
中银能源加油站(兴宁兴福站),205国道与225省道交叉路口红绿灯旁,115.68684,24.128025,0753-3322922;18023525892,汽车服务;加油站;加油站
顺达加油站,潘田镇,116.336646,23.91796,[],汽车服务;加油站;加油站
联合石化加油站(得月楼站),新店5号,115.697567,24.154325,0753-3877333,汽车服务;加油站;加油站
中莆国际能源大众加油站,黄陂镇岗背中队旁,115.702952,24.328784,0753-3505519,汽车服务;加油站;加油站
红星加油站,205国道与046县道交叉口东北1020米,116.191765,24.706171,0753-7525157,汽车服务;加油站;加油站
兴发石油加油站,峰口街11号,116.215345,24.639819,[],汽车服务;加油站;加油站
中泰石化坪洋加油站,大坪镇大东村,115.678172,24.326139,[],汽车服务;加油站;加油站
中国石化叶塘服务区东加油站,叶塘镇济广高速叶塘服务区,115.647529,24.234861,0753-3310161,汽车服务;加油站;中国石化
中国石化叶塘服务区西加油站,叶塘镇济广高速叶塘服务区,115.645483,24.233767,0753-3310162,汽车服务;加油站;中国石化
中广化福利加油站,叶塘镇,115.671179,24.189151,0753-3392528,汽车服务;加油站;加油站
庆余加油站,新陂镇兴叶路,115.686431,24.165847,[],汽车服务;加油站;加油站
中国石化城郊加油站,中国石化广东梅州石油分公司城郊加油站爱心驿站西侧,115.672712,24.121651,[],汽车服务;加油站;中国石化
中油bp梅州文福加油站,文福镇路亭,116.196281,24.723467,0753-7520283,汽车服务;加油站;中石油碧辟
兴旺石化加油站,安顺八达加油站(205国道西),115.670169,24.119646,[],汽车服务;加油站;加油站
中国石化广东梅州石油分公司五华华龙加能站,汕湛高速华阳出口200米处,115.518429,23.614685,13509093463,汽车服务;加油站;中国石化
广兴能源加油站,人民大道西,115.685132,24.127881,[],汽车服务;加油站;加油站
华阳加油站,紫云酒店(金华路南),115.48663,23.613608,0753-4651336,汽车服务;加油站;加油站
兴园加油站,兴田街道官汕一路873号,115.698502,24.137225,[],汽车服务;加油站;加油站
粤能中广加油站,叶南大道与温泉北路交叉口东北360米,115.647684,24.184572,[],汽车服务;加油站;加油站
中国石化华新加油站,华阳镇华新村桥头右侧,115.500074,23.620118,[],汽车服务;加油站;中国石化
中广化八达加油站,205国道附近,115.669638,24.119163,[],汽车服务;加油站;加油站
中国石化桥江加油站,棉洋镇桥江街,115.714759,23.56944,0753-4581992,汽车服务;加油站;中国石化
桃尧宝建加油站,桃尧镇,116.428913,24.625415,[],汽车服务;加油站;加油站
五华县华粮加油站,华阳镇金华路331号,115.496035,23.617,13826628777,汽车服务;加油站;加油站
